Title,Company,Location,Duration,Stipend,Apply By,Applicants,Skills Required,Perks,Number of Openings,Link
Sales & Marketing,Decathlon Sport India Private Limited,Chennai,3 Months,10000 /month,19 Apr' 22,Be an early applicant,,"Certificate , Letter of recommendation , Flexible work hours , Informal dress code , Job offer , ",4,https://internshala.com/internship/detail/sales-marketing-part-time-job-internship-at-chennai-in-decathlon-sport-india-private-limited1649138528
Business Development (Sales),Aditya Birla Capital,Kolkata,3 Months,2000-3000 /month,16 Apr' 22,52 applicants,,"Certificate , Letter of recommendation , Job offer , ",20,https://internshala.com/internship/detail/business-development-sales-part-time-job-internship-at-kolkata-in-aditya-birla-capital1648886882
Teaching (Computer Programming),Nimble-Q,Kanpur Dehat,3 Months,1600 /week,24 Apr' 22,Be an early applicant,"Android , Java , Python , ","Certificate , Letter of recommendation , Job offer , ",1,https://internshala.com/internship/detail/teaching-computer-programming-part-time-job-internship-at-kanpur-dehat-in-nimble-q1649402035
Baking - Culinary,Prianka Khushwani,Delhi,6 Months,4000 /month,24 Apr' 22,Be an early applicant,"Culinary Arts , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , Free snacks & beverages , Job offer , ",2,https://internshala.com/internship/detail/baking-culinary-part-time-job-internship-at-delhi-in-prianka-khushwani1649575509
Web Development,Spring 360 Technology,Bhopal,3 Months,7000-20000 /month,24 Apr' 22,Be an early applicant,".NET , JavaScript , Node.js , PHP , Python , ReactJS , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , 5 days a week , Job offer , ",8,https://internshala.com/internship/detail/web-development-part-time-job-internship-at-bhopal-in-spring-360-technology1649404167
Android App Development,AnsrOne,Work From Home,3 Months,1000-2000 /month,24 Apr' 22,Be an early applicant,"Android , C++ Programming , C Programming , Java , Python , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",2,https://internshala.com/internship/detail/android-app-development-work-from-home-job-internship-at-ansrone1649516286
Content Writing,Nirav Shah,Work From Home,3 Months,3000-5000 /month,24 Apr' 22,Be an early applicant,"Creative Writing , English Proficiency (Written) , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",3,https://internshala.com/internship/detail/content-writing-work-from-home-job-internship-at-nirav-shah1649512884
Marketing,GetSetHome,Mumbai,3 Months,5000-7000 /month,24 Apr' 22,Be an early applicant,"English Proficiency (Spoken) , English Proficiency (Written) , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , Free snacks & beverages , Job offer , ",3,https://internshala.com/internship/detail/marketing-part-time-job-internship-at-mumbai-in-getsethome1649509639
Graphic Design,Enigma Metaverse Private Limited,Hyderabad,6 Months,5000-8000 /month,23 Apr' 22,Be an early applicant,"Adobe Illustrator , Adobe Indesign , Adobe Photoshop , UI & UX Design , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , 5 days a week , Job offer , ",1,https://internshala.com/internship/detail/graphic-design-part-time-job-internship-at-hyderabad-in-enigma-metaverse-private-limited1649503457
Social Media Marketing,Happy Life Foundation,Ahmedabad,3 Months,6000 /month,24 Apr' 22,Be an early applicant,"Instagram Marketing , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , Job offer , ",2,https://internshala.com/internship/detail/social-media-marketing-part-time-job-internship-at-ahmedabad-in-happy-life-foundation1649495094
